id,cpu_usage,memory_usage,disk_usage,network_sent,network_recv,load_avg_1m,timestamp
1,0.0,49.3,14.5,9998.93,9879.74,1.75,2026-07-13 19:42:02
2,0.0,49.7,14.5,11771.7,11771.7,1.06,2026-07-13 19:42:34
3,8.0,55.1,14.5,858.63,858.63,1.6,2026-07-13 19:43:34
4,9.5,59.9,14.5,2356.67,2356.67,1.66,2026-07-13 19:44:34
5,2.9,61.2,14.5,324.02,324.02,0.61,2026-07-13 19:45:34
6,3.3,58.9,14.5,444.93,444.93,0.75,2026-07-13 19:46:34
7,3.5,57.4,14.5,571.23,571.23,0.82,2026-07-13 19:47:34
8,1.5,57.2,14.5,1136.62,1136.62,0.44,2026-07-13 19:48:34
9,3.6,59.0,14.5,321.46,321.46,0.29,2026-07-13 19:49:34
10,4.0,58.7,14.5,15934.7,15816.6,0.48,2026-07-13 19:50:35
11,3.5,58.8,14.5,559.1,559.1,0.47,2026-07-13 19:51:35
12,2.4,60.0,14.5,1519.07,1519.07,0.21,2026-07-13 19:52:35
13,4.5,56.6,14.5,322.99,322.99,0.2,2026-07-13 19:53:35
14,2.2,56.8,14.5,429.57,429.57,0.22,2026-07-13 19:54:35
15,2.5,58.4,14.5,636.45,636.45,0.21,2026-07-13 19:55:35
16,1.7,59.3,14.5,3049.35,3049.35,0.15,2026-07-13 19:56:35
17,3.0,58.9,14.5,3082.32,775.11,0.38,2026-07-13 19:57:35
18,3.1,59.9,14.5,312.86,312.86,0.26,2026-07-13 19:58:35
19,1.3,59.9,14.5,1011.2,880.59,0.15,2026-07-13 19:59:35
20,0.5,60.0,14.5,288.72,251.27,0.05,2026-07-13 20:00:35
21,1.6,60.5,14.5,1692.36,1472.2,0.11,2026-07-13 20:01:36
22,3.0,60.6,14.5,955.13,955.13,0.77,2026-07-13 20:02:36
23,3.7,61.7,14.5,206.93,206.93,0.59,2026-07-13 20:03:36
24,3.3,61.8,14.5,538.4,538.4,0.31,2026-07-13 20:04:36
25,4.5,64.0,14.5,495.95,495.95,0.46,2026-07-13 20:05:36
26,8.2,66.9,14.5,3616.18,3616.18,0.58,2026-07-13 20:06:36
27,11.8,64.0,14.5,5820.54,5820.54,1.05,2026-07-13 20:07:36
28,4.1,60.1,14.5,435.68,435.68,0.84,2026-07-13 20:08:36
29,3.2,60.4,14.5,683.96,683.96,0.81,2026-07-13 20:09:36
30,4.4,58.7,14.5,866.49,866.49,0.9,2026-07-13 20:10:36
31,3.7,58.9,14.5,4266.83,4266.83,0.67,2026-07-13 20:11:36
32,4.3,58.6,14.5,425.36,425.36,0.47,2026-07-13 20:12:36
33,2.4,57.8,14.5,651.89,540.75,0.46,2026-07-13 20:13:37
34,1.7,58.5,14.5,865.05,865.05,0.55,2026-07-13 20:14:37
35,3.2,57.9,14.5,2364.58,2364.58,0.28,2026-07-13 20:15:37
36,5.3,58.7,14.5,577.38,547.53,0.46,2026-07-13 20:16:37
37,3.1,58.3,14.5,2979.92,580.74,0.4,2026-07-13 20:17:37
38,5.1,60.8,14.5,3273.01,1034.35,0.45,2026-07-13 20:18:37
39,3.7,62.2,14.5,2323.66,3426.78,0.67,2026-07-13 20:19:37
40,3.3,62.8,14.5,2900.68,2900.68,0.55,2026-07-13 20:20:37
41,3.9,63.3,14.5,29456.4,2705.07,0.73,2026-07-13 20:21:37
42,3.0,62.0,14.5,628.24,628.24,0.38,2026-07-13 20:22:37
43,4.9,62.6,14.5,606.54,606.54,0.3,2026-07-13 20:23:38
44,4.8,62.1,14.5,3767.46,1208.2,0.49,2026-07-13 20:24:38
45,5.7,64.4,14.5,810.86,810.86,0.61,2026-07-13 20:25:38
46,3.9,62.6,14.5,2736.2,2736.2,0.55,2026-07-13 20:26:38
47,3.2,63.1,14.5,391.9,391.9,0.37,2026-07-13 20:27:38
48,4.9,62.9,14.5,1570.28,4662.61,0.88,2026-07-13 20:28:38
49,4.2,62.2,14.5,808.54,808.54,0.86,2026-07-13 20:29:38
50,3.5,61.6,14.5,1958.95,1958.95,0.56,2026-07-13 20:30:38
51,2.7,62.0,14.5,596.69,399.63,0.36,2026-07-13 20:31:38
52,4.5,63.0,14.5,575.91,575.91,0.43,2026-07-13 20:32:38
53,3.6,66.6,14.5,1157.82,1157.82,1.0,2026-07-13 20:33:39
54,3.4,65.2,14.5,1961.14,567.57,0.67,2026-07-13 20:34:39
55,6.2,62.8,14.5,517.93,482.25,0.8,2026-07-13 20:35:39
56,3.7,61.0,14.5,1072.93,909.06,0.52,2026-07-13 20:36:39
57,3.9,62.0,14.5,2464.14,2464.14,0.54,2026-07-13 20:37:39
58,3.7,61.2,14.5,3592.03,1838.37,0.35,2026-07-13 20:38:39
59,3.2,60.3,14.5,490.39,490.39,0.35,2026-07-13 20:39:39
60,3.2,59.6,14.5,16803.0,144572.0,0.5,2026-07-13 20:40:39
61,3.6,60.8,14.5,988.74,988.74,0.73,2026-07-13 20:41:39
62,3.4,60.2,14.5,2055.13,2055.13,0.59,2026-07-13 20:42:39
63,2.8,60.2,14.5,4387.23,3645.76,0.31,2026-07-13 20:43:40
64,3.8,63.1,14.5,2929.03,2094.0,0.21,2026-07-13 20:44:40
65,3.5,64.3,14.5,683.75,534.02,0.35,2026-07-13 20:45:40
66,3.1,62.9,14.5,482.94,235.94,0.36,2026-07-13 20:46:40
67,3.6,65.2,14.5,2731.13,960.18,0.48,2026-07-13 20:47:40
68,4.0,61.4,14.5,3763.92,27525.3,0.7,2026-07-13 20:48:40
69,2.6,61.0,14.5,3231.89,1199.69,0.47,2026-07-13 20:49:40
70,3.8,62.0,14.5,2385.19,695.7,0.29,2026-07-13 20:50:40
71,2.6,61.4,14.5,1566.48,533.15,0.27,2026-07-13 20:51:41
72,2.2,64.1,14.5,1096.8,439.19,0.36,2026-07-13 20:52:41
73,2.0,62.4,14.5,1077.8,812.45,0.3,2026-07-13 20:53:41
